Image_Width,Image_Height, canny_time,vertical_time,horizontal_time,mean_time,Canny_flops,Canny_bytes,vertical_flops,vertical_bytes ,horizontal_flops,horizontal_bytes,mean_flops,mean_bytes,d2h_size_MB,d2h_time,h2d_size_mb,h2d_time
5120,5120,242.304825,62.029598,39.838047,25.262655,12949913600,314572800,52428800,104867840,30060.14178,60604.8932,1887436800,655360000,400,42.796768,100,231.965927
5120,5120,235.243744,61.958591,39.821152,25.258688,12949913600,314572800,52428800,104867840,29150.74184,58771.97117,1887436800,655360000,400,35.468319,100,197.910812
5120,5120,235.362946,61.927521,39.840065,25.247841,12949913600,314572800,52428800,104867840,29150.88756,58772.50102,1887436800,655360000,400,44.05619,100,251.894592
5120,5120,231.08316,61.925472,39.843201,25.262783,12949913600,314572800,52428800,104867840,28619.86751,57701.90134,1887436800,655360000,400,42.880032,100,232.000641
5120,5120,236.217468,61.921345,39.822178,25.264959,12949913600,314572800,52428800,104867840,29253.80666,58980.04826,1887436800,655360000,400,35.521503,100,197.674881
7680,7680,552.198059,116.827492,64.468994,57.255489,29137305600,707788800,117964800,235944960,129023.8286,259152.0534,4246732800,1474560000,900,98.224098,225,567.798218
7680,7680,566.22583,116.884384,64.482048,57.259422,29137305600,707788800,117964800,235944960,132365.9147,265864.281,4246732800,1474560000,900,86.338722,225,445.712585
7680,7680,563.084778,117.188736,64.492516,57.248577,29137305600,707788800,117964800,235944960,131974.3868,265074.9431,4246732800,1474560000,900,98.240608,225,568.02771
7680,7680,553.586121,116.853119,64.432129,57.255871,29137305600,707788800,117964800,235944960,129376.5297,259860.2317,4246732800,1474560000,900,80.561089,225,497.867523
7680,7680,551.073181,116.951965,64.548706,57.251778,29137305600,707788800,117964800,235944960,128898.1828,258898.5119,4246732800,1474560000,900,95.851357,225,521.005127
7680,7680,586.544434,116.864159,64.483582,57.257217,29137305600,707788800,117964800,235944960,137092.044,275357.1769,4246732800,1474560000,900,98.196541,225,567.937256
7680,7680,587.210022,116.845917,64.500511,57.2416,29137305600,707788800,117964800,235944960,137226.187,275626.794,4246732800,1474560000,900,80.143967,225,491.406097
7680,7680,586.73175,116.818077,64.515427,57.257248,29137305600,707788800,117964800,235944960,137081.7495,275336.9625,4246732800,1474560000,900,80.420067,225,508.398071
7680,7680,586.336975,117.049377,64.522339,57.241024,29137305600,707788800,117964800,235944960,137260.7553,275694.1845,4246732800,1474560000,900,95.975677,225,521.149963
7680,7680,551.956665,116.939713,64.54525,57.246975,29137305600,707788800,117964800,235944960,129091.308,259286.5293,4246732800,1474560000,900,88.68029,225,520.684387
7680,7680,550.868591,116.801727,64.42627,57.243839,29137305600,707788800,117964800,235944960,128684.8056,258471.3483,4246732800,1474560000,900,88.653854,225,521.31134
7680,7680,564.150391,116.860611,64.436195,57.232384,29137305600,707788800,117964800,235944960,131853.9188,264836.1383,4246732800,1474560000,900,88.653793,225,522.142761
